061A	Mn	unicode
061C	Cf	both
064B	Mn	unicode
064C	Mn	unicode
064D	Mn	unicode
064E	Mn	unicode
064F	Mn	unicode
0650	Mn	unicode
0651	Mn	unicode
0652	Mn	unicode
0653	Mn	unicode
0654	Mn	unicode
0655	Mn	unicode
0656	Mn	unicode
0657	Mn	unicode
0658	Mn	unicode
0659	Mn	unicode
065A	Mn	unicode
065B	Mn	unicode
065C	Mn	unicode
065D	Mn	unicode
065E	Mn	unicode
065F	Mn	unicode
0670	Mn	unicode
06D6	Mn	unicode
06D7	Mn	unicode
06D8	Mn	unicode
06D9	Mn	unicode
06DA	Mn	unicode
06DB	Mn	unicode
06DC	Mn	unicode
06DD	Cf	unicode
06DF	Mn	unicode
06E0	Mn	unicode
06E1	Mn	unicode
06E2	Mn	unicode
06E3	Mn	unicode
06E4	Mn	unicode
06E7	Mn	unicode
06E8	Mn	unicode
06EA	Mn	unicode
06EB	Mn	unicode
06EC	Mn	unicode
06ED	Mn	unicode
070F	Cf	unicode
0711	Mn	unicode
0730	Mn	unicode
0731	Mn	unicode
0732	Mn	unicode
0733	Mn	unicode
0734	Mn	unicode
0735	Mn	unicode
0736	Mn	unicode
0737	Mn	unicode
0738	Mn	unicode
0739	Mn	unicode
073A	Mn	unicode
073B	Mn	unicode
073C	Mn	unicode
073D	Mn	unicode
073E	Mn	unicode
073F	Mn	unicode
0740	Mn	unicode
0741	Mn	unicode
0742	Mn	unicode
0743	Mn	unicode
0744	Mn	unicode
0745	Mn	unicode
0746	Mn	unicode
0747	Mn	unicode
0748	Mn	unicode
0749	Mn	unicode
074A	Mn	unicode
07A6	Mn	unicode
07A7	Mn	unicode
07A8	Mn	unicode
07A9	Mn	unicode
07AA	Mn	unicode
07AB	Mn	unicode
07AC	Mn	unicode
07AD	Mn	unicode
07AE	Mn	unicode
07AF	Mn	unicode
07B0	Mn	unicode
07EB	Mn	unicode
07EC	Mn	unicode
07ED	Mn	unicode
07EE	Mn	unicode
07EF	Mn	unicode
07F0	Mn	unicode
07F1	Mn	unicode
07F2	Mn	unicode
07F3	Mn	unicode
07FD	Mn	unicode
0816	Mn	unicode
0817	Mn	unicode
0818	Mn	unicode
0819	Mn	unicode
081B	Mn	unicode
081C	Mn	unicode
081D	Mn	unicode
081E	Mn	unicode
081F	Mn	unicode
0820	Mn	unicode
0821	Mn	unicode
0822	Mn	unicode
0823	Mn	unicode
0825	Mn	unicode
0826	Mn	unicode
0827	Mn	unicode
0829	Mn	unicode
082A	Mn	unicode
082B	Mn	unicode
082C	Mn	unicode
082D	Mn	unicode
0859	Mn	unicode
085A	Mn	unicode
085B	Mn	unicode
0890	Cf	unicode
0891	Cf	unicode
0897	Cn	unicode
0898	Mn	unicode
0899	Mn	unicode
089A	Mn	unicode
089B	Mn	unicode
089C	Mn	unicode
089D	Mn	unicode
089E	Mn	unicode
089F	Mn	unicode
