0000
0001
0002
0003
0004
0005
0006
0007
0008
0009
000A
000B
000C
000D
000E
000F
0010
0011
0012
0013
0014
0015
0016
0017
0018
0019
001A
001B
001C
001D
001E
001F
0020
007F
0080
0081
0082
0083
0084
0085
0086
0087
0088
0089
008A
008B
008C
008D
008E
008F
0090
0091
0092
0093
0094
0095
0096
0097
0098
0099
009A
009B
009C
009D
009E
009F
00A0
00AD
0600
0601
0602
0603
0604
0605
061C
06DD
070F
0890
0891
0897
08E2
0ECE
115F
1160
1680
180E
1ACF
1AD0
1AD1
1AD2
1AD3
1AD4
1AD5
1AD6
1AD7
1AD8
1AD9
1ADA
1ADB
1ADC
1ADD
1AE0
1AE1
1AE2
1AE3
1AE4
1AE5
1AE6
1AE7
1AE8
1AE9
1AEA
1AEB
2000
2001
2002
2003
2004
2005
2006
2007
2008
2009
200A
200B
200C
200D
200E
200F
2011
2028
2029
202A
202B
202C
202D
202E
202F
205F
2060
2061
2062
2063
2064
2066
2067
2068
2069
206A
206B
206C
206D
206E
206F
3000
3164
D800
DB7F
DB80
DBFF
DC00
DFFF
FEFF
FFA0
FFF9
FFFA
FFFB
10D69
10D6A
10D6B
10D6C
10D6D
10EFA
10EFB
10EFC
10EFD
10EFE
10EFF
110BD
110CD
11241
113BB
113BC
113BD
113BE
113BF
113C0
113CE
113D0
113D2
113E1
113E2
11B60
11B62
11B63
11B64
11B66
11F00
11F01
11F36
11F37
11F38
11F39
11F3A
11F40
11F42
11F5A
13430
13431
13432
13433
13434
13435
13436
13437
13438
13439
1343A
1343B
1343C
1343D
1343E
1343F
13440
13447
13448
13449
1344A
1344B
1344C
1344D
1344E
1344F
13450
13451
13452
13453
13454
13455
1611E
1611F
16120
16121
16122
16123
16124
16125
16126
16127
16128
16129
1612D
1612E
1612F
1BCA0
1BCA1
1BCA2
1BCA3
1D159
1D173
1D174
1D175
1D176
1D177
1D178
1D179
1D17A
1E08F
1E4EC
1E4ED
1E4EE
1E4EF
1E5EE
1E5EF
1E6E3
1E6E6
1E6EE
1E6EF
1E6F5
E0001
E0020
E0021
E0022
E0023
E0024
E0025
E0026
E0027
E0028
E0029
E002A
E002B
E002C
E002D
E002E
E002F
E0030
E0031
E0032
E0033
E0034
E0035
E0036
E0037
E0038
E0039
E003A
E003B
E003C
E003D
E003E
E003F
E0040
E0041
E0042
E0043
E0044
E0045
E0046
E0047
E0048
E0049
E004A
E004B
E004C
E004D
E004E
E004F
E0050
E0051
E0052
E0053
E0054
E0055
E0056
E0057
E0058
E0059
E005A
E005B
E005C
E005D
E005E
E005F
E0060
E0061
E0062
E0063
E0064
E0065
E0066
E0067
E0068
E0069
E006A
E006B
E006C
E006D
E006E
E006F
E0070
E0071
E0072
E0073
E0074
E0075
E0076
E0077
E0078
E0079
E007A
E007B
E007C
E007D
E007E
E007F
