康熙部首番号,康熙部首文字,康熙部首コード,仲介常用漢字,常用漢字コード,CJK部首補助,CJK部首補助コード
116,⽳,U+2F73,穴,U+7A74,,N/A
117,⽴,U+2F74,竜,U+7ADC,⻯,U+2EEF
118,⽵,U+2F75,𥫗,U+25AD7,⺮,U+2EAE
119,⽶,U+2F76,米,U+7C73,,N/A
120,⽷,U+2F77,糹,U+7CF9,⺯,U+2EAF
121,⽸,U+2F78,缶,U+7F36,,N/A
122,⽹,U+2F79,罒,U+7F52,⺲,U+2EB2
123,⽺,U+2F7A,羊,U+7F8A,⺶,U+2EB6
124,⽻,U+2F7B,羽,U+7FBD,,N/A
125,⽼,U+2F7C,老,U+8001,,N/A
126,⽽,U+2F7D,而,U+800C,,N/A
127,⽾,U+2F7E,耒,U+8012,,N/A
128,⽿,U+2F7F,耳,U+8033,,N/A
129,⾀,U+2F80,聿,U+807F,⺻,U+2EBB
130,⾁,U+2F81,肉,U+8089,⺼,U+2EBC
131,⾂,U+2F82,臣,U+81E3,,N/A
132,⾃,U+2F83,自,U+81EA,,N/A
133,⾄,U+2F84,至,U+81F3,,N/A
134,⾅,U+2F85,𦥑,U+26951,⺽,U+2EBD
135,⾆,U+2F86,舌,U+820C,,N/A
136,⾇,U+2F87,舛,U+821B,,N/A
137,⾈,U+2F88,舟,U+821F,,N/A
138,⾉,U+2F89,艮,U+826E,,N/A
139,⾊,U+2F8A,色,U+8272,,N/A
140,⾋,U+2F8B,艹,U+8279,⺾,U+2EBE
141,⾌,U+2F8C,虍,U+864D,,N/A
142,⾍,U+2F8D,虫,U+866B,,N/A
143,⾎,U+2F8E,血,U+8840,,N/A
144,⾏,U+2F8F,行,U+884C,,N/A
145,⾐,U+2F90,衤,U+8864,⻂,U+2EC2
146,⾑,U+2F91,西,U+897F,⻄,U+2EC4
147,⾒,U+2F92,见,U+89C1,⻅,U+2EC5
148,⾓,U+2F93,角,U+89D2,⻆,U+2EC6
149,⾔,U+2F94,讠,U+8BA0,⻈,U+2EC8
150,⾕,U+2F95,谷,U+8C37,,N/A
151,⾖,U+2F96,豆,U+8C46,,N/A
152,⾗,U+2F97,豕,U+8C55,,N/A
153,⾘,U+2F98,豸,U+8C78,,N/A
154,⾙,U+2F99,贝,U+8D1D,⻉,U+2EC9
155,⾚,U+2F9A,赤,U+8D64,,N/A
156,⾛,U+2F9B,走,U+8D70,,N/A
157,⾜,U+2F9C,𧾷,U+27FB7,⻊,U+2ECA
158,⾝,U+2F9D,身,U+8EAB,,N/A
159,⾞,U+2F9E,车,U+8F66,⻋,U+2ECB
160,⾟,U+2F9F,辛,U+8F9B,,N/A
161,⾠,U+2FA0,辰,U+8FB0,,N/A
162,⾡,U+2FA1,辶,U+8FB6,⻌,U+2ECC
163,⾢,U+2FA2,邑,U+9091,⻏,U+2ECF
164,⾣,U+2FA3,酉,U+9149,,N/A
165,⾤,U+2FA4,釆,U+91C6,,N/A
166,⾥,U+2FA5,里,U+91CC,,N/A
167,⾦,U+2FA6,钅,U+9485,⻐,U+2ED0
168,⾧,U+2FA7,長,U+9577,⻑,U+2ED1
169,⾨,U+2FA8,门,U+95E8,⻔,U+2ED4
170,⾩,U+2FA9,阝,U+961D,⻖,U+2ED6
171,⾪,U+2FAA,隶,U+96B6,,N/A
172,⾫,U+2FAB,隹,U+96B9,,N/A
173,⾬,U+2FAC,雨,U+96E8,⻗,U+2ED7
174,⾭,U+2FAD,青,U+9752,⻘,U+2ED8
175,⾮,U+2FAE,非,U+975E,,N/A
176,⾯,U+2FAF,面,U+9762,,N/A
177,⾰,U+2FB0,革,U+9769,,N/A
178,⾱,U+2FB1,韦,U+97E6,⻙,U+2ED9
179,⾲,U+2FB2,韭,U+97ED,,N/A
180,⾳,U+2FB3,音,U+97F3,,N/A
181,⾴,U+2FB4,页,U+9875,⻚,U+2EDA
182,⾵,U+2FB5,风,U+98CE,⻛,U+2EDB
183,⾶,U+2FB6,飞,U+98DE,⻜,U+2EDC
184,⾷,U+2FB7,食,U+98DF,⻝,U+2EDD
185,⾸,U+2FB8,𩠐,U+29810,⻡,U+2EE1
186,⾹,U+2FB9,香,U+9999,,N/A
187,⾺,U+2FBA,马,U+9A6C,⻢,U+2EE2
188,⾻,U+2FBB,骨,U+9AA8,⻣,U+2EE3
189,⾼,U+2FBC,高,U+9AD8,,N/A
190,⾽,U+2FBD,髟,U+9ADF,,N/A
191,⾾,U+2FBE,鬥,U+9B25,,N/A
192,⾿,U+2FBF,鬯,U+9B2F,,N/A
193,⿀,U+2FC0,鬲,U+9B32,,N/A
194,⿁,U+2FC1,鬼,U+9B3C,⻤,U+2EE4
195,⿂,U+2FC2,鱼,U+9C7C,⻥,U+2EE5
196,⿃,U+2FC3,鸟,U+9E1F,⻦,U+2EE6
197,⿄,U+2FC4,鹵,U+9E75,,N/A
198,⿅,U+2FC5,鹿,U+9E7F,,N/A
199,⿆,U+2FC6,麦,U+9EA6,⻨,U+2EE8
200,⿇,U+2FC7,麻,U+9EBB,,N/A
201,⿈,U+2FC8,黄,U+9EC4,⻩,U+2EE9
202,⿉,U+2FC9,黍,U+9ECD,,N/A
203,⿊,U+2FCA,黑,U+9ED1,,N/A
204,⿋,U+2FCB,黹,U+9EF9,,N/A
205,⿌,U+2FCC,黾,U+9EFE,⻪,U+2EEA
206,⿍,U+2FCD,鼎,U+9F0E,,N/A
207,⿎,U+2FCE,鼓,U+9F13,,N/A
208,⿏,U+2FCF,鼠,U+9F20,,N/A
209,⿐,U+2FD0,鼻,U+9F3B,,N/A
210,⿑,U+2FD1,齊,U+9F4A,,N/A
211,⿒,U+2FD2,齿,U+9F7F,⻮,U+2EEE
212,⿓,U+2FD3,龙,U+9F99,⻰,U+2EF0
213,⿔,U+2FD4,龜,U+9F9C,⻱,U+2EF1
214,⿕,U+2FD5,龠,U+9FA0,,N/A
